Acad Group,Class ID,Subject,Subject Code,Course Nbr,Course Title,Day,Time,Course Size,Seats Available,Regist Code
Engineering,20009,Civil And Environmental Engineering,CEE,365,Env Engr Principles,M W,12-130PM,28,24,CEE-365
Engineering,23957,Civil And Environmental Engineering,CEE,412,Matrix Struct Ana,M W,12-130PM,18,17,CEE-412
Engineering,10353,Civil And Environmental Engineering,CEE,480,Des Env Engr Sys,M W,12-130PM,29,24,CEE-480
Engineering,32060,Civil And Environmental Engineering,CEE,564,Greenhouse Gas Contr,M W,12-130PM,20,14,CEE-564
Engineering,10343,Civil And Environmental Engineering,CEE,413,Design Metal Struct,M W,130-230PM,26,26,CEE-413
Engineering,28695,Civil And Environmental Engineering,CEE,511,Dynamics of Struct,M W,230-4PM,16,11,CEE-511
Engineering,25142,Civil And Environmental Engineering,CEE,588,Sustain Finance,M W,430-6PM,27,18,CEE-588
Engineering,10350,Civil And Environmental Engineering,CEE,431,Constr Contracting,M W,8-930AM,12,6,CEE-431
Engineering,29036,Civil And Environmental Engineering,CEE,501,Special Topics CEE,M W,9-1030AM,22,16,CEE-501
Engineering,18192,Civil And Environmental Engineering,CEE,373,Statistical Methods,M W F,1030-1130AM,25,20,CEE-373
Engineering,32366,Civil And Environmental Engineering,CEE,648,Dyn Soils & Found,M W F,11-12PM,12,3,CEE-648
Engineering,10351,Civil And Environmental Engineering,CEE,345,Geotech Engr,M W F,1130-1230PM,28,20,CEE-345
Engineering,10339,Civil And Environmental Engineering,CEE,325,Fluid Mechanics,M W F,130-230PM,21,18,CEE-325
Engineering,23326,Civil And Environmental Engineering,CEE,571,Linear Systems Thry,M W F,130-230PM,22,18,CEE-571
Engineering,23734,Civil And Environmental Engineering,CEE,212,Solid&Struct Mech,M W F,830-930AM,25,22,CEE-212
Engineering,17114,Civil And Environmental Engineering,CEE,230,Thermo & Env,M W F,930-1030AM,28,19,CEE-230
Engineering,10341,Civil And Environmental Engineering,CEE,312,Structural Engr,M W F,930-1030AM,12,5,CEE-312
Engineering,21971,Civil And Environmental Engineering,CEE,812,Struct Engr Grad Sem,T,430-530PM,26,23,CEE-812
Engineering,21373,Civil And Environmental Engineering,CEE,881,EWRE Grad Sem,T,4-530PM,11,7,CEE-881
Engineering,16213,Civil And Environmental Engineering,CEE,265,Sus Engr Prin,T TH,10-1130AM,15,11,CEE-265
Engineering,10348,Civil And Environmental Engineering,CEE,428,Groundwater Hydrol,T TH,10-1130AM,29,22,CEE-428
Engineering,10355,Civil And Environmental Engineering,CEE,536,Crit Path Meth,T TH,10-1130AM,29,23,CEE-536
Engineering,10356,Civil And Environmental Engineering,CEE,545,Foundation Engr,T TH,10-1130AM,23,21,CEE-545
Engineering,10345,Civil And Environmental Engineering,CEE,421,Hydro-Hydraulics,T TH,1130-1PM,17,8,CEE-421
Engineering,22842,Civil And Environmental Engineering,CEE,515,Adv Des Reinf Concr,T TH,1130-1PM,11,8,CEE-515
Engineering,26411,Civil And Environmental Engineering,CEE,521,Flow Open Channels,T TH,1130-1PM,13,8,CEE-521
Engineering,32367,Civil And Environmental Engineering,CEE,540,Advanced Soil Mech,T TH,1130-1PM,26,18,CEE-540
Engineering,21946,Civil And Environmental Engineering,CEE,482,Env Microbiology,T TH,1-230PM,22,15,CEE-482
Engineering,21978,Civil And Environmental Engineering,CEE,510,Fem Sol&Str,T TH,1-230PM,21,16,CEE-510
Engineering,10357,Civil And Environmental Engineering,CEE,547,Soil Eng & Pavement,T TH,1-230PM,24,20,CEE-547
Engineering,32059,Civil And Environmental Engineering,CEE,554,Data Mining in Trans,T TH,1-230PM,25,23,CEE-554
Engineering,10358,Civil And Environmental Engineering,CEE,582,Env Microbiology,T TH,1-230PM,13,7,CEE-582
Engineering,20046,Civil And Environmental Engineering,CEE,591,Env Fluid Mechanics,T TH,230-4PM,18,10,CEE-591
Engineering,17770,Civil And Environmental Engineering,CEE,351,Civil Engr Material,T TH,830-10AM,12,8,CEE-351
Engineering,35232,Civil And Environmental Engineering,CEE,527,Coastal Hydraulics,T TH,830-10AM,11,2,CEE-527
Engineering,25208,Civil And Environmental Engineering,CEE,572,Dynamic Infr Sys,T TH,830-10AM,10,8,CEE-572
Engineering,24923,Civil And Environmental Engineering,CEE,200,Intro to CEE,TH,230-330PM,24,20,CEE-200
Engineering,20048,Civil And Environmental Engineering,CEE,840,Geotech Engr Sem,TH,4-530PM,25,16,CEE-840
Engineering,29194,Civil And Environmental Engineering,CEE,830,Constr Engr Mgt Sem,W,1-2PM,12,9,CEE-830
Engineering,20044,Civil And Environmental Engineering,CEE,565,Sem Energy Tech Pol,W,6-9PM,15,6,CEE-565
Engineering,18588,Climate and Meteorology,CLIMATE,380,Intro Atm Radiation,M F,130-3PM,15,10,CLIMATE-380
Engineering,27296,Climate and Meteorology,CLIMATE,473,Climate Physics,M W,330-5PM,13,10,CLIMATE-473
Engineering,17178,Climate and Meteorology,CLIMATE,102,Extreme Weather,M W F,10-11AM,15,6,CLIMATE-102
Engineering,18253,Climate and Meteorology,CLIMATE,551,Adv Fluid Dynamics,M W F,1030-1230PM,12,7,CLIMATE-551
Engineering,34956,Climate and Meteorology,CLIMATE,605,Current Topics,M W F,12-1PM,18,17,CLIMATE-605
Engineering,18111,Climate and Meteorology,CLIMATE,440,Meteor Analysis Lab,M W F,130-330PM,28,22,CLIMATE-440
Engineering,30088,Climate and Meteorology,CLIMATE,589,Art of Climate Model,M W F,830-1030AM,18,10,CLIMATE-589
Engineering,30087,Climate and Meteorology,CLIMATE,422,Boundary Layer Met,M W F,9-1030AM,11,4,CLIMATE-422
Engineering,24108,Climate and Meteorology,CLIMATE,501,"Climate,Atmos&Sp Sci",T,12-1PM,13,5,CLIMATE-501
Engineering,21486,Climate and Meteorology,CLIMATE,530,Using Climate Change,T,330-6PM,19,16,CLIMATE-530
Engineering,10287,Climate and Meteorology,CLIMATE,105,Changing Atmos,T TH,10-1130AM,22,15,CLIMATE-105
Engineering,30185,Climate and Meteorology,CLIMATE,421,Intro Phys Oceanogr,T TH,10-1130AM,10,1,CLIMATE-421
Engineering,10293,Climate and Meteorology,CLIMATE,401,Geophys Fluid Dyn,T TH,12-130PM,13,7,CLIMATE-401
Engineering,10295,Climate and Meteorology,CLIMATE,479,Atmos Chemistry,T TH,1230-230PM,10,2,CLIMATE-479
Engineering,17179,Climate and Meteorology,CLIMATE,320,Earth Sys Evolution,T TH,130-3PM,17,15,CLIMATE-320
Engineering,17155,Climate and Meteorology,CLIMATE,410,Earth System Model,T TH,930-1130AM,10,2,CLIMATE-410
Engineering,10300,Climate and Meteorology,CLIMATE,749,CLaSP Seminar,TH,330-5PM,21,21,CLIMATE-749
Engineering,16742,Climate and Meteorology,CLIMATE,747,Student Seminar,W,1230-130PM,18,16,CLIMATE-747
Engineering,30086,Climate and Meteorology,CLIMATE,405,Special Topics,W F,130-3PM,19,19,CLIMATE-405
Engineering,28790,Electrical Engineering And Computer Science,EECS,549,Informatn Retrieval,F,1-4PM,27,21,EECS-549
Engineering,19610,Electrical Engineering And Computer Science,EECS,442,Computer Vision,F,230-430PM,24,22,EECS-442
Engineering,15621,Electrical Engineering And Computer Science,EECS,496,Major Design/Prof,F,230-430PM,18,17,EECS-496
Engineering,32007,Electrical Engineering And Computer Science,EECS,504,Fnd Computer Vision,F,230-430PM,13,7,EECS-504
Engineering,34900,Electrical Engineering And Computer Science,EECS,409,Data Science Sem,F,4-5PM,20,12,EECS-409
Engineering,10429,Electrical Engineering And Computer Science,EECS,458,Biomed Instrum Des,M,4-6PM,28,26,EECS-458
Engineering,28753,Electrical Engineering And Computer Science,EECS,402,Prog for Sci&Eng,M F,4-530PM,17,16,EECS-402
Engineering,19909,Electrical Engineering And Computer Science,EECS,583,Advanced Compilers,M W,1030-1230PM,20,20,EECS-583
Engineering,16770,Electrical Engineering And Computer Science,EECS,270,Intro Logic Design,M W,1030-12PM,26,18,EECS-270
Engineering,26286,Electrical Engineering And Computer Science,EECS,320,Intr Semicon Devices,M W,1030-12PM,21,13,EECS-320
Engineering,28290,Electrical Engineering And Computer Science,EECS,376,Foundatns Comp Sci,M W,1030-12PM,13,12,EECS-376
Engineering,22782,Electrical Engineering And Computer Science,EECS,545,Machine Learn,M W,1030-12PM,21,21,EECS-545
Engineering,20474,Electrical Engineering And Computer Science,EECS,573,Microarch,M W,1030-12PM,10,7,EECS-573
Engineering,16769,Electrical Engineering And Computer Science,EECS,413,Monolith Ampl Circ,M W,1130-1PM,19,17,EECS-413
Engineering,10423,Electrical Engineering And Computer Science,EECS,351,Intro DIg Sig Proc,M W,12-130PM,14,10,EECS-351
Engineering,32517,Electrical Engineering And Computer Science,EECS,444,Analys Soc Networks,M W,12-130PM,10,5,EECS-444
Engineering,31882,Electrical Engineering And Computer Science,EECS,495,Software for Access,M W,12-130PM,18,14,EECS-495
Engineering,32012,Electrical Engineering And Computer Science,EECS,544,Anlys Soc Networks,M W,12-130PM,10,2,EECS-544
Engineering,10452,Electrical Engineering And Computer Science,EECS,554,Dig Comm & Codes,M W,12-130PM,28,24,EECS-554
Engineering,10455,Electrical Engineering And Computer Science,EECS,587,Parallel Computing,M W,12-130PM,19,16,EECS-587
Engineering,28755,Electrical Engineering And Computer Science,EECS,497,Major Des Projects,M W,1230-230PM,22,13,EECS-497
Engineering,16694,Electrical Engineering And Computer Science,EECS,312,Digit Integrat Circ,M W,130-3PM,27,23,EECS-312
Engineering,10408,Electrical Engineering And Computer Science,EECS,373,Intro Embed Sys Des,M W,130-3PM,21,18,EECS-373
Engineering,26399,Electrical Engineering And Computer Science,EECS,398,Special Topics,M W,130-3PM,25,24,EECS-398
Engineering,10421,Electrical Engineering And Computer Science,EECS,427,VLSI Design I,M W,130-3PM,17,10,EECS-427
Engineering,10432,Electrical Engineering And Computer Science,EECS,460,Con Sys Anlys&Des,M W,130-3PM,21,18,EECS-460
Engineering,29546,Electrical Engineering And Computer Science,EECS,567,Robot Kinemat Dynam,M W,130-3PM,27,27,EECS-567
Engineering,10444,Electrical Engineering And Computer Science,EECS,494,Comp Game Design,M W,230-430PM,27,20,EECS-494
Engineering,28993,Electrical Engineering And Computer Science,EECS,590,Adv Prog Lang,M W,2-330PM,20,17,EECS-590
Engineering,23548,Electrical Engineering And Computer Science,EECS,434,Princ of Photonics,M W,330-5PM,19,16,EECS-434
Engineering,10394,Electrical Engineering And Computer Science,EECS,314,"Elec Ckts, Sys&Appl",M W,3-430PM,13,5,EECS-314
Engineering,21345,Electrical Engineering And Computer Science,EECS,418,Power Electronics,M W,3-430PM,19,10,EECS-418
Engineering,21596,Electrical Engineering And Computer Science,EECS,441,Mbl App Dev Entrprnr,M W,3-430PM,16,15,EECS-441
Engineering,10433,Electrical Engineering And Computer Science,EECS,470,Comp Architec,M W,3-430PM,22,21,EECS-470
Engineering,23638,Electrical Engineering And Computer Science,EECS,485,Web Systems,M W,3-430PM,28,28,EECS-485
Engineering,19601,Electrical Engineering And Computer Science,EECS,520,Solid State Physics,M W,3-430PM,22,20,EECS-520
Engineering,32013,Electrical Engineering And Computer Science,EECS,563,Hybrid Control,M W,3-430PM,25,18,EECS-563
Engineering,31842,Electrical Engineering And Computer Science,EECS,574,Computat Complexity,M W,3-430PM,23,14,EECS-574
Engineering,26289,Electrical Engineering And Computer Science,EECS,582,Adv Operat Sys,M W,3-430PM,25,25,EECS-582
Engineering,31881,Electrical Engineering And Computer Science,EECS,591,Distribute Sys,M W,3-5PM,18,15,EECS-591
Engineering,10428,Electrical Engineering And Computer Science,EECS,455,Wireless Comm Sys,M W,430-6PM,22,14,EECS-455
Engineering,31839,Electrical Engineering And Computer Science,EECS,489,Comp Networks,M W,430-6PM,25,20,EECS-489
Engineering,26254,Electrical Engineering And Computer Science,EECS,490,Prog Lang,M W,430-6PM,25,25,EECS-490
Engineering,32017,Electrical Engineering And Computer Science,EECS,650,Chanel Coding Thry,M W,430-6PM,21,16,EECS-650
Engineering,32033,Electrical Engineering And Computer Science,EECS,445,Intro Machine Learn,M W,6-730PM,12,4,EECS-445
Engineering,21354,Electrical Engineering And Computer Science,EECS,280,Prog&Data Struct,M W,9-1030AM,17,9,EECS-280
Engineering,22849,Electrical Engineering And Computer Science,EECS,301,Probabil Mthd in Eng,M W,9-1030AM,25,19,EECS-301
Engineering,31892,Electrical Engineering And Computer Science,EECS,467,Autonomous Robotics,M W,9-1030AM,11,6,EECS-467
Engineering,10440,Electrical Engineering And Computer Science,EECS,484,Database Mgt Syst,M W,9-1030AM,12,6,EECS-484
Engineering,16182,Electrical Engineering And Computer Science,EECS,538,Opt Wave Crystals,M W,9-1030AM,12,11,EECS-538
Engineering,31877,Electrical Engineering And Computer Science,EECS,575,Adv Cryptography,M W,9-1030AM,19,15,EECS-575
Engineering,26290,Electrical Engineering And Computer Science,EECS,592,AI Foundations,M W,9-1030AM,23,14,EECS-592
Engineering,10420,Electrical Engineering And Computer Science,EECS,421,Prop of Transistors,M W,930-11AM,16,11,EECS-421
Engineering,10450,Electrical Engineering And Computer Science,EECS,537,Class Optics,M W F,1030-1130AM,15,11,EECS-537
Engineering,10453,Electrical Engineering And Computer Science,EECS,560,Linear Systems Thry,M W F,130-230PM,29,25,EECS-560
Engineering,15525,Electrical Engineering And Computer Science,EECS,215,Intro to Elect Circ,M W F,930-1030AM,22,17,EECS-215
Engineering,10390,Electrical Engineering And Computer Science,EECS,285,Prog Lng or Sys,T,3-5PM,11,4,EECS-285
Engineering,25820,Electrical Engineering And Computer Science,EECS,417,Electrical Biophys,T TH,10-12PM,10,6,EECS-417
Engineering,18550,Electrical Engineering And Computer Science,EECS,216,Intro Signals&Syst,T TH,1030-12PM,23,23,EECS-216
Engineering,32023,Electrical Engineering And Computer Science,EECS,230,Engineering EM,T TH,1030-12PM,16,9,EECS-230
Engineering,18786,Electrical Engineering And Computer Science,EECS,423,Sol State Dev Lab,T TH,1030-12PM,14,7,EECS-423
Engineering,10425,Electrical Engineering And Computer Science,EECS,452,DSP Design Lab,T TH,1030-12PM,10,6,EECS-452
Engineering,23806,Electrical Engineering And Computer Science,EECS,473,Adv Embedded Sys,T TH,1030-12PM,18,10,EECS-473
Engineering,10442,Electrical Engineering And Computer Science,EECS,492,Intro Art Intell,T TH,1030-12PM,11,2,EECS-492
Engineering,10445,Electrical Engineering And Computer Science,EECS,501,Prb&Rand Proc,T TH,1030-12PM,22,20,EECS-501
Engineering,23550,Electrical Engineering And Computer Science,EECS,529,Semi Lasers & Leds,T TH,1030-12PM,10,4,EECS-529
Engineering,32015,Electrical Engineering And Computer Science,EECS,600,Func Meth Sys Thry,T TH,1030-12PM,16,8,EECS-600
Engineering,10397,Electrical Engineering And Computer Science,EECS,330,Intro to Ants,T TH,12-130PM,10,10,EECS-330
Engineering,24826,Electrical Engineering And Computer Science,EECS,388,Intro Comp Security,T TH,12-130PM,12,9,EECS-388
Engineering,16304,Electrical Engineering And Computer Science,EECS,461,Embedded Control,T TH,12-130PM,23,14,EECS-461
Engineering,22822,Electrical Engineering And Computer Science,EECS,477,Intro to Algorithms,T TH,12-130PM,23,23,EECS-477
Engineering,10449,Electrical Engineering And Computer Science,EECS,530,Elecmag Thr I,T TH,1-230PM,16,10,EECS-530
Engineering,31879,Electrical Engineering And Computer Science,EECS,584,Adv Dbase Sys,T TH,130-330PM,23,23,EECS-584
Engineering,16291,Electrical Engineering And Computer Science,EECS,414,Intro to MEMS,T TH,130-3PM,23,20,EECS-414
Engineering,24838,Electrical Engineering And Computer Science,EECS,482,Intro Oper System,T TH,130-3PM,28,19,EECS-482
Engineering,16771,Electrical Engineering And Computer Science,EECS,550,Information Theory,T TH,130-3PM,23,21,EECS-550
Engineering,19455,Electrical Engineering And Computer Science,EECS,523,Digital Integ Tech,T TH,1-3PM,27,18,EECS-523
Engineering,10448,Electrical Engineering And Computer Science,EECS,516,Med Imag Sys,T TH,330-5PM,26,20,EECS-516
Engineering,25350,Electrical Engineering And Computer Science,EECS,598,Special Topics,T TH,330-5PM,20,17,EECS-598
Engineering,10416,Electrical Engineering And Computer Science,EECS,411,M-Wave Circ I,T TH,3-430PM,17,12,EECS-411
Engineering,32014,Electrical Engineering And Computer Science,EECS,566,Discrete Event Syst,T TH,3-430PM,18,18,EECS-566
Engineering,22076,Electrical Engineering And Computer Science,EECS,381,Obj-Orient Adv Prog,T TH,3-5PM,11,7,EECS-381
Engineering,24883,Electrical Engineering And Computer Science,EECS,493,User Interface Dev,T TH,430-6PM,22,21,EECS-493
Engineering,25032,Electrical Engineering And Computer Science,EECS,463,Power Sys Deg&Oper,T TH,830-1030AM,26,23,EECS-463
Engineering,10371,Electrical Engineering And Computer Science,EECS,183,Elem Prog Concepts,T TH,830-10AM,12,7,EECS-183
Engineering,16608,Electrical Engineering And Computer Science,EECS,203,Discrete Math,T TH,9-1030AM,12,4,EECS-203
Engineering,23537,Electrical Engineering And Computer Science,EECS,281,Data Struct&Algor,T TH,9-1030AM,18,18,EECS-281
Engineering,10391,Electrical Engineering And Computer Science,EECS,311,Analog Circuits,T TH,9-1030AM,15,11,EECS-311
Engineering,28291,Electrical Engineering And Computer Science,EECS,370,Intro Computer Org,T TH,9-1030AM,29,27,EECS-370
Engineering,35319,Electrical Engineering And Computer Science,EECS,428,Quant Nano Tech,T TH,9-1030AM,12,7,EECS-428
Engineering,10451,Electrical Engineering And Computer Science,EECS,540,App Qnt Mech I,T TH,9-1030AM,28,24,EECS-540
Engineering,17143,Electrical Engineering And Computer Science,EECS,551,Matrix Meth Sig Proc,T TH,9-1030AM,14,13,EECS-551
Engineering,32256,Electrical Engineering And Computer Science,EECS,498,Special Topics,TH,3-6PM,19,14,EECS-498
Engineering,33447,Electrical Engineering And Computer Science,EECS,198,Special Topics,TH,5-6PM,20,13,EECS-198
Engineering,25648,Electrical Engineering And Computer Science,EECS,548,Info Visualization,W,1-230PM,21,12,EECS-548
Engineering,24914,Electrical Engineering And Computer Science,EECS,595,Nat Lng Proc,W,130-430PM,18,12,EECS-595
Engineering,19472,Electrical Engineering And Computer Science,EECS,334,Prin of Optics,W F,10-1130AM,22,20,EECS-334
Engineering,28748,Electrical Engineering And Computer Science,EECS,438,Adv Lasers Lab,W F,12-1PM,29,25,EECS-438
Engineering,32660,Engineering,ENGR,230,Honors Seminar I,M,530-730PM,17,13,ENGR-230
Engineering,32662,Engineering,ENGR,430,Honors Seminar III,M,5-8PM,28,23,ENGR-430
Engineering,21403,Engineering,ENGR,405,Prob Solv&Trbleshoot,M W,130-3PM,25,20,ENGR-405
Engineering,18158,Engineering,ENGR,580,Teaching Engin,M W,130-3PM,15,12,ENGR-580
Engineering,20052,Engineering,ENGR,151,Accel Intro Prog,M W,430-6PM,11,6,ENGR-151
Engineering,23738,Engineering,ENGR,523,Business of Biology,M W,830-10AM,10,2,ENGR-523
Engineering,10471,Engineering,ENGR,101,Intro Comp & Prog,M W,9-1030AM,12,11,ENGR-101
Engineering,17250,Engineering,ENGR,110,Des Your Engr Exp,T,230-330PM,12,9,ENGR-110
Engineering,32661,Engineering,ENGR,330,Honors Seminar II,T,330-530PM,29,29,ENGR-330
Engineering,10495,Engineering,ENGR,371,Num Meth Engr,T TH,12-130PM,22,22,ENGR-371
Engineering,10459,Engineering,ENGR,100,Intro Engineering,T TH,230-4PM,28,22,ENGR-100
Engineering,22068,Engineering,ENGR,260,Eng Across Cultures,W,330-5PM,11,10,ENGR-260
Engineering,25097,Engineering,ENGR,456,Mentr-Ldr Mltdis Des,W,630-830PM,29,25,ENGR-456
Engineering,33439,Engineering Education Research,EER,601,Foundations EER,T TH,10-1130AM,10,4,EER-601
Engineering,19992,Entrepreneurship,ENTR,407,Entrepreneurship Hr,F,1130-1230PM,15,6,ENTR-407
Engineering,20522,Entrepreneurship,ENTR,417,Entr Hr Dis Session,F,130-230PM,18,11,ENTR-417
Engineering,28864,Entrepreneurship,ENTR,413,Entr Marketing,M,3-5PM,21,17,ENTR-413
Engineering,28866,Entrepreneurship,ENTR,520,Innov Bus Models,M,830-1130AM,25,23,ENTR-520
Engineering,22778,Entrepreneurship,ENTR,390,Spec Topics Entr,M W,1-230PM,20,20,ENTR-390
Engineering,21389,Entrepreneurship,ENTR,411,Entr Practicum,T,4-6PM,13,8,ENTR-411
Engineering,32443,Entrepreneurship,ENTR,560,Proj Mgmt Consulting,T,530-830PM,25,24,ENTR-560
Engineering,19990,Entrepreneurship,ENTR,408,Patent Law,T,6-8PM,11,7,ENTR-408
Engineering,28865,Entrepreneurship,ENTR,500,Intro to Innovation,T,830-1130AM,11,7,ENTR-500
Engineering,28862,Entrepreneurship,ENTR,412,Adv Entr Practicum,T TH,6-8PM,18,10,ENTR-412
Engineering,28863,Entrepreneurship,ENTR,410,Finding Your Venture,TH,3-5PM,14,14,ENTR-410
Engineering,31185,Entrepreneurship,ENTR,550,Interpersonal Skills,TH,4-7PM,23,22,ENTR-550
Engineering,22101,Entrepreneurship,ENTR,599,Spec Topics Entr,W,5-8PM,27,19,ENTR-599
Engineering,29028,Entrepreneurship,ENTR,490,Spec Topics Entr,W,630-930PM,17,15,ENTR-490
Engineering,15797,Environmental Sciences and Engineering,ENSCEN,211,Intro to Nucl Eng,M W,1030-12PM,18,9,ENSCEN-211
Engineering,15860,Environmental Sciences and Engineering,ENSCEN,484,RHE Fundamentals,M W F,9-1030AM,28,24,ENSCEN-484
Engineering,15799,Environmental Sciences and Engineering,ENSCEN,105,Changing Atmos,T TH,10-1130AM,18,10,ENSCEN-105
Engineering,18543,Environmental Sciences and Engineering,ENSCEN,428,Groundwater Hydrol,T TH,10-1130AM,23,21,ENSCEN-428
Engineering,18093,Environmental Sciences and Engineering,ENSCEN,533,Combustion Processes,T TH,1030-12PM,10,6,ENSCEN-533
Engineering,15858,Environmental Sciences and Engineering,ENSCEN,479,Atmos Chemistry,T TH,1230-230PM,21,21,ENSCEN-479
Engineering,10540,Industrial And Operations Engineering,IOE,836,Sem Hum Perform,F,12-1PM,14,6,IOE-836
Engineering,10505,Industrial And Operations Engineering,IOE,334,Ergonomics Lab,M,12-2PM,14,12,IOE-334
Engineering,10538,Industrial And Operations Engineering,IOE,800,First Year Doc Sem,M,3-430PM,25,21,IOE-800
Engineering,23026,Industrial And Operations Engineering,IOE,813,Health Eng Seminars,M,430-630PM,19,11,IOE-813
Engineering,10520,Industrial And Operations Engineering,IOE,424,Practicum Prod&Srv,M,7-9PM,24,23,IOE-424
Engineering,23918,Industrial And Operations Engineering,IOE,533,Hum Moto Beh Eng Sy,M W,10-1130AM,25,20,IOE-533
Engineering,10504,Industrial And Operations Engineering,IOE,333,Ergonomics,M W,1030-12PM,20,12,IOE-333
Engineering,16752,Industrial And Operations Engineering,IOE,461,Quality Engin Prin,M W,1030-12PM,23,17,IOE-461
Engineering,10523,Industrial And Operations Engineering,IOE,463,Measure&Des of Work,M W,1030-12PM,13,11,IOE-463
Engineering,10502,Industrial And Operations Engineering,IOE,310,Intro to Optim Meth,M W,12-130PM,24,23,IOE-310
Engineering,10519,Industrial And Operations Engineering,IOE,421,Work Organizations,M W,12-130PM,25,20,IOE-421
Engineering,18908,Industrial And Operations Engineering,IOE,437,Automotive Human Fac,M W,12-130PM,16,16,IOE-437
Engineering,22788,Industrial And Operations Engineering,IOE,430,Global Cult Sys Engr,M W,130-3PM,23,22,IOE-430
Engineering,21279,Industrial And Operations Engineering,IOE,447,Facility Planning,M W,130-3PM,17,10,IOE-447
Engineering,21276,Industrial And Operations Engineering,IOE,413,Optim Mod Hlth Care,M W,3-430PM,25,19,IOE-413
Engineering,16767,Industrial And Operations Engineering,IOE,452,Corporate Finance,M W,3-430PM,28,24,IOE-452
Engineering,10525,Industrial And Operations Engineering,IOE,474,Simulation,M W,430-6PM,23,15,IOE-474
Engineering,10521,Industrial And Operations Engineering,IOE,425,Lean Mfg&Services,M W,5-7PM,22,20,IOE-425
Engineering,10499,Industrial And Operations Engineering,IOE,201,Econ Dec Making,M W,830-1030AM,17,16,IOE-201
Engineering,10500,Industrial And Operations Engineering,IOE,202,Operations Modeling,M W,830-1030AM,27,27,IOE-202
Engineering,16284,Industrial And Operations Engineering,IOE,460,Decision Analysis,M W,9-1030AM,12,5,IOE-460
Engineering,10533,Industrial And Operations Engineering,IOE,510,Linear Pro I,M W,9-1030AM,11,2,IOE-510
Engineering,21441,Industrial And Operations Engineering,IOE,610,Linear Prog II,M W,9-1030AM,28,22,IOE-610
Engineering,17174,Industrial And Operations Engineering,IOE,432,IE Istrument Meth,T,10-12PM,13,9,IOE-432
Engineering,31993,Industrial And Operations Engineering,IOE,691,Special Topics,T,3-6PM,26,21,IOE-691
Engineering,10530,Industrial And Operations Engineering,IOE,481,Practicum Hosp Sys,T,7-9PM,22,14,IOE-481
Engineering,16802,Industrial And Operations Engineering,IOE,623,Computationl Finance,T TH,10-1130AM,11,11,IOE-623
Engineering,10501,Industrial And Operations Engineering,IOE,265,Prob&Stat Engr,T TH,1030-12PM,16,14,IOE-265
Engineering,32021,Industrial And Operations Engineering,IOE,600,Func Meth Sys Thry,T TH,1030-12PM,23,15,IOE-600
Engineering,17238,Industrial And Operations Engineering,IOE,536,Cognitive Ergonomic,T TH,12-130PM,17,16,IOE-536
Engineering,32174,Industrial And Operations Engineering,IOE,565,Time Ser Anlys,T TH,12-130PM,18,9,IOE-565
Engineering,31167,Industrial And Operations Engineering,IOE,588,Assembly Modeling,T TH,12-130PM,21,16,IOE-588
Engineering,23800,Industrial And Operations Engineering,IOE,611,Nonlin Prog,T TH,12-130PM,25,24,IOE-611
Engineering,10524,Industrial And Operations Engineering,IOE,466,Stat Quality Control,T TH,130-3PM,15,13,IOE-466
Engineering,10511,Industrial And Operations Engineering,IOE,366,Linear Stat Models,T TH,3-430PM,18,17,IOE-366
Engineering,18705,Industrial And Operations Engineering,IOE,422,Entrepreneurship,T TH,3-430PM,29,21,IOE-422
Engineering,18799,Industrial And Operations Engineering,IOE,440,Operations Anlys&Mgt,T TH,3-430PM,17,12,IOE-440
Engineering,32701,Industrial And Operations Engineering,IOE,541,Optim Mod Sup Chain,T TH,3-430PM,17,15,IOE-541
Engineering,10512,Industrial And Operations Engineering,IOE,373,Data Processing,T TH,430-6PM,10,2,IOE-373
Engineering,10534,Industrial And Operations Engineering,IOE,515,Stochastic Proc,T TH,430-6PM,10,7,IOE-515
Engineering,25090,Industrial And Operations Engineering,IOE,552,Financial Engin I,T TH,5-630PM,19,18,IOE-552
Engineering,10503,Industrial And Operations Engineering,IOE,316,Intro Markov Proc,T TH,9-1030AM,10,7,IOE-316
Engineering,32702,Industrial And Operations Engineering,IOE,517,Game Theory,T TH,9-1030AM,25,16,IOE-517
Engineering,10541,Industrial And Operations Engineering,IOE,899,Ioe Seminar,W,4-530PM,12,8,IOE-899
Engineering,29089,Industrial And Operations Engineering,IOE,548,Integrated Prod Dev,W,6-9PM,11,4,IOE-548
Engineering,32954,Integrative Systems and Design,ISD,528,Adv Design for mfg,M W,1030-12PM,21,16,ISD-528
Engineering,23073,Integrative Systems and Design,ISD,520,Intr to Systems Engr,T TH,12-130PM,15,6,ISD-520
Engineering,10546,Manufacturing,MFG,470,Fnd Ship Design,M T W,930-1030AM,27,26,MFG-470
Engineering,23922,Manufacturing,MFG,535,Hum Moto Beh Eng Sy,M W,10-1130AM,10,7,MFG-535
Engineering,18712,Manufacturing,MFG,452,Design for Mfg,M W,1030-12PM,10,2,MFG-452
Engineering,16753,Manufacturing,MFG,461,Quality Engin Prin,M W,1030-12PM,21,21,MFG-461
Engineering,10544,Manufacturing,MFG,463,Measure&Des of Work,M W,1030-12PM,11,4,MFG-463
Engineering,18739,Manufacturing,MFG,599,Spec Topics in Mfg,M W,1030-12PM,15,11,MFG-599
